date,open,high,low,close,volume
2024-03-26,2743.2911929636334,2778.9799875726876,2719.817579481408,2749.3987835270477,4413638
2024-03-27,2694.6403563779613,2793.3698603841226,2694.6403563779613,2773.430095110643,3624394
2024-03-28,2790.15586363649,2790.15586363649,2641.330552006298,2698.032554919644,5027893
2024-03-29,2727.615289485844,2765.787744861801,2727.615289485844,2756.0505706124527,4560084
2024-04-01,2761.4954489714655,2797.880788168699,2618.928379333175,2708.404583750937,4274545
2024-04-02,2717.9554758336317,2840.614907091342,2645.8793395815997,2743.247123336471,3928020
2024-04-03,2730.9989010982167,2803.0813245430695,2718.722121476757,2760.901723009913,3454157
2024-04-04,2700.2858520164295,2889.9433592064406,2687.0149193719853,2788.479139289213,3716406
2024-04-05,2823.57259164153,2823.57259164153,2775.820398233853,2786.3796740382095,3032808
2024-04-08,2767.3456765766737,2798.5158696264625,2762.6333041000526,2780.5745868632575,3131961
2024-04-09,2802.8360891153025,2802.8360891153025,2689.0395263286296,2741.1895861495045,4038388
2024-04-10,2746.3969460985973,2925.565393940925,2684.8719680079757,2805.2186809744503,4695053
2024-04-11,2759.442096133589,2796.9307837493534,2708.6920875119517,2752.8114356306523,4380206
2024-04-12,2706.667785194368,2925.0387848357555,2706.667785194368,2854.0224924127297,5663776
2024-04-15,2822.990554082264,2945.891809606668,2822.990554082264,2899.267393713142,4147268
2024-04-16,2872.38796460193,3016.695549661614,2872.38796460193,2952.217827319252,4323636
2024-04-17,2937.0169238341896,2993.4284784418974,2937.0169238341896,2986.8961238108286,3845826
2024-04-18,2954.723834517084,2969.168651627351,2918.028561754894,2943.5986066911223,4063415
2024-04-19,2947.9362100333683,3025.482230962032,2924.69367557285,2975.087953267441,3768630
2024-04-22,2921.8408594325565,3069.833213553651,2906.4052328042667,2988.1192231789587,3302009
2024-04-23,2979.287035332855,3211.241787774358,2979.287035332855,3144.2829273867574,6767783
2024-04-24,3147.774831145626,3332.886127444262,3147.774831145626,3267.8166909072106,5844581
2024-04-25,3270.2088649560933,3422.180550333151,3235.2598449948987,3328.720197664025,4350963
2024-04-26,3302.7329940779896,3535.0971772481826,3170.0073537068142,3352.552265477498,3507663
2024-04-29,3310.2426921278625,3507.1898403315154,3305.2128320228603,3406.201336177188,4158214
2024-04-30,3451.7657809462657,3554.3753078563764,3451.7657809462657,3535.8682857011368,5757137
2024-05-01,3538.0053381811695,3597.301185001992,3538.0053381811695,3586.7165509952197,4039331
2024-05-02,3583.732258211817,3583.732258211817,3377.375621204393,3411.4215174164,6705748
2024-05-03,3409.996541836793,3432.5711055218526,3201.1492457801414,3316.860175650997,5068707
2024-05-06,3307.4254610484672,3307.4254610484672,3115.8404748308226,3150.96920403086,6795081
2024-05-07,3167.092724019013,3361.6141653840523,3167.092724019013,3287.205544211272,6126741
2024-05-08,3292.7293245073433,3292.7293245073433,3088.8597197932854,3127.205962200983,6690103
2024-05-09,3144.6846188304476,3276.821233745027,3029.3592217330875,3153.0902277390574,3590196
2024-05-10,3146.32600156275,3381.3100825002925,3146.32600156275,3337.9045951530484,7215677
2024-05-13,3337.536286721539,3337.536286721539,3252.769183733621,3287.08714482187,4118450
2024-05-14,3305.1722068763274,3566.1177840526498,3305.1722068763274,3452.457986835002,6629582
2024-05-15,3502.6618666944655,3638.5939143425644,3502.6618666944655,3632.2106370675087,6753890
2024-05-16,3649.454698580081,3712.8502548692163,3537.324076412197,3625.0871656407066,3122850
2024-05-17,3645.117507408779,3918.718730773861,3490.656854924929,3704.687792849395,4593184
2024-05-20,3703.1673057294943,3840.1554005205685,3455.2833754851285,3647.7193880028485,4130015
2024-05-21,3665.234681125557,3926.3981757273887,3665.234681125557,3828.626054248928,6578920
2024-05-22,3864.669663194017,3864.669663194017,3659.8568997100388,3713.88153482262,5241208
2024-05-23,3697.281099921944,3697.281099921944,3553.3206686718536,3563.9991400383287,6042392
2024-05-24,3517.0301840357934,3642.641965722389,3517.0301840357934,3595.4148409818404,3629865
2024-05-27,3622.891939204553,3650.5068984004893,3535.882395061256,3593.1946467308726,3022725
2024-05-28,3592.787749701677,3604.6845959875504,3555.6952795599177,3580.189937773734,3246587
2024-05-29,3574.188469249303,3698.182375612757,3409.2414088657833,3553.71189223927,3529183
2024-05-30,3590.327681526892,3590.327681526892,3514.1997005286657,3542.8595008091065,3204366
2024-05-31,3551.2524709267327,3827.2199439968863,3551.2524709267327,3809.742621178662,8381614
2024-06-03,3790.8311625365905,4073.4692075090743,3790.8311625365905,3963.0176775430623,5912147
2024-06-04,3920.089287268059,3926.8410901089883,3710.5528817372306,3818.6969859231094,5737439
2024-06-05,3832.7206762882665,4036.5663716954587,3784.0932553059642,3910.329813500711,4741412
2024-06-06,3928.3011412505416,3928.3011412505416,3830.784674448677,3840.6846606833333,4314145
2024-06-07,3849.2494898254176,4055.208944984198,3849.2494898254176,4033.0259825599096,6613335
2024-06-10,4088.108943917527,4088.108943917527,3844.20498132485,3891.6339655112897,5632608
2024-06-11,3866.7687127216223,4482.5447846188345,3722.46539827421,4102.505091446522,6903744
2024-06-12,4133.395387417541,4135.1662010946475,4052.4242753737612,4093.7952382342046,3134920
2024-06-13,4070.9585975341815,4203.526918639597,4070.9585975341815,4174.378355274407,4427403
2024-06-14,4124.798009595548,4249.033883548478,4103.382957115629,4176.208420332054,3009375
2024-06-17,4193.334122548883,4237.60360626911,4106.908137750987,4172.255872010049,3047223
2024-06-18,4254.774762022053,4254.774762022053,4080.924342804492,4108.904647000454,4115395
2024-06-19,4139.557794911331,4257.756826428612,3935.730287073786,4096.743556751199,3197340
2024-06-20,4086.238879431291,4338.855009696521,4023.727799506088,4181.291404601305,4496967
